articul;category_path;name;txt;price;price_min;price_max;discount_formula;recom;installation;gift_articul;gift_end_date;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Eglo_49402;"Внутреннее освещение/Абажуры";"Eglo 49402 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49402</td></tr> <tr> <td>Серия</td> <td>1+1 VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Материал плафона</td> <td>текстиль,</td> </tr> <tr> <td>Цвет плафонов</td> <td>белый</td> </tr> <tr> <td>Высота</td> <td>120</td> </tr> <tr> <td>Диаметр</td> <td>155</td> </tr> <tr> <td>Вес светильника (кг)</td> <td>0.094</td> </tr> <tr> <td>Цоколь </td> <td>-</td> </tr> <tr> <td>Мощность ламп</td> <td>-</td> </tr> <tr> <td>Выключатель в комплекте</td> <td>без выключателя</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, d155, Выс.-120, E14 Ring</td> </tr> <tr> <td>Лампы в комплекте</td> <td>нет</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";181;145;181;6%;0;0;Nowodvorski_6895;0000-00-00;;Абажуры;;;;;;;;;;;;;;12;;16;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49403;"Внутреннее освещение/Абажуры";"Eglo 49403 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49403</td></tr> <tr> <td>Серия</td> <td>1+1 VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Материал плафона</td> <td>ткань плиссе,</td> </tr> <tr> <td>Цвет плафонов</td> <td>белый</td> </tr> <tr> <td>Высота</td> <td>120</td> </tr> <tr> <td>Диаметр</td> <td>155</td> </tr> <tr> <td>Вес светильника (кг)</td> <td>0.330</td> </tr> <tr> <td>Цоколь </td> <td>-</td> </tr> <tr> <td>Мощность ламп</td> <td>-</td> </tr> <tr> <td>Выключатель в комплекте</td> <td>без выключателя</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, плиссированный d155, Выс.-120, E14 Ring</td> </tr> <tr> <td>Лампы в комплекте</td> <td>нет</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";242;194;230;;0;0;Nowodvorski_6895;2016-11-01;;Абажуры;;;;;;;;;;;;;;12;;16;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49404;"Внутреннее освещение/Абажуры";"Eglo 49404 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49404</td></tr> <tr> <td>Серия</td> <td>1+1 VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Материал плафона</td> <td>ткань плиссе,</td> </tr> <tr> <td>Цвет плафонов</td> <td>черный</td> </tr> <tr> <td>Высота</td> <td>120</td> </tr> <tr> <td>Диаметр</td> <td>155</td> </tr> <tr> <td>Вес светильника (кг)</td> <td>0.033</td> </tr> <tr> <td>Цоколь </td> <td>-</td> </tr> <tr> <td>Мощность ламп</td> <td>-</td> </tr> <tr> <td>Выключатель в комплекте</td> <td>без выключателя</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, плиссированный d155, Выс.-120, E14 Ring</td> </tr> <tr> <td>Лампы в комплекте</td> <td>нет</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";242;194;230;10;0;45;;0000-00-00;;Абажуры;;;;;;;;;;;;;;12;;16;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49406;"Внутреннее освещение/Абажуры";"Eglo 49406 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49406</td></tr> <tr> <td>Серия</td> <td>1+1 VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Материал плафона</td> <td>текстиль,</td> </tr> <tr> <td>Цвет плафонов</td> <td>белый</td> </tr> <tr> <td>Высота</td> <td>110</td> </tr> <tr> <td>Диаметр</td> <td>210</td> </tr> <tr> <td>Вес светильника (кг)</td> <td>0.455</td> </tr> <tr> <td>Цоколь </td> <td>-</td> </tr> <tr> <td>Мощность ламп</td> <td>-</td> </tr> <tr> <td>Выключатель в комплекте</td> <td>без выключателя</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, d210, Выс.-110, E14 Ring</td> </tr> <tr> <td>Лампы в комплекте</td> <td>нет</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";220;176;220;1;0;45;Nowodvorski_6895;0000-00-00;;Абажуры;;;;;;;;;;;;;;11;;21;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49407;"Внутреннее освещение/Абажуры";"Eglo 49407 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49407</td></tr> <tr> <td>Серия</td> <td>VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Цвет арматуры</td> <td>черный</td> </tr> <tr> <td>Высота</td> <td>110</td> </tr> <tr> <td>Диаметр</td> <td>210</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, d210, Выс.-110, E14 Ring</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";220;176;220;7%;0;0;;0000-00-00;;Абажуры;;;;;;;;;;;;;;11;;21;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49408;"Внутреннее освещение/Абажуры";"Eglo 49408 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49408</td></tr> <tr> <td>Серия</td> <td>VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Цвет арматуры</td> <td>кожа темный коричневый</td> </tr> <tr> <td>Высота</td> <td>110</td> </tr> <tr> <td>Диаметр</td> <td>210</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, d210, Выс.-110, E14 Ring</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";220;176;220;5;0;0;;0000-00-00;;Абажуры;;;;;;;;;;;;;;11;;21;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49409;"Внутреннее освещение/Абажуры";"Eglo 49409 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49409</td></tr> <tr> <td>Серия</td> <td>1+1 VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Материал плафона</td> <td>текстиль,</td> </tr> <tr> <td>Цвет плафонов</td> <td>белый</td> </tr> <tr> <td>Высота</td> <td>170</td> </tr> <tr> <td>Диаметр</td> <td>245</td> </tr> <tr> <td>Вес светильника (кг)</td> <td>0.472</td> </tr> <tr> <td>Цоколь </td> <td>-</td> </tr> <tr> <td>Мощность ламп</td> <td>-</td> </tr> <tr> <td>Выключатель в комплекте</td> <td>без выключателя</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, d245, Выс.-170, E14 Ring</td> </tr> <tr> <td>Лампы в комплекте</td> <td>нет</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";277;221;263;5ip;0;0;Nowodvorski_6895;0000-00-00;;Абажуры;;;;;;;;;;;;;;17;;25;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49412;"Внутреннее освещение/Абажуры";"Eglo 49412 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49412</td></tr> <tr> <td>Серия</td> <td>1+1 VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Материал плафона</td> <td>ткань плиссе,</td> </tr> <tr> <td>Цвет плафонов</td> <td>белый</td> </tr> <tr> <td>Высота</td> <td>170</td> </tr> <tr> <td>Диаметр</td> <td>245</td> </tr> <tr> <td>Вес светильника (кг)</td> <td>-0.076</td> </tr> <tr> <td>Цоколь </td> <td>-</td> </tr> <tr> <td>Мощность ламп</td> <td>-</td> </tr> <tr> <td>Выключатель в комплекте</td> <td>без выключателя</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, d245, Выс.-170, E14 Ring</td> </tr> <tr> <td>Лампы в комплекте</td> <td>нет</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";379;303;379;13%N;0;45;;0000-00-00;;Абажуры;;;;;;;;;;;;;;17;;25;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49413;"Внутреннее освещение/Абажуры";"Eglo 49413 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49413</td></tr> <tr> <td>Серия</td> <td>1+1 VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Материал плафона</td> <td>ткань плиссе,</td> </tr> <tr> <td>Цвет плафонов</td> <td>черный</td> </tr> <tr> <td>Высота</td> <td>170</td> </tr> <tr> <td>Диаметр</td> <td>245</td> </tr> <tr> <td>Вес светильника (кг)</td> <td>0.029</td> </tr> <tr> <td>Цоколь </td> <td>-</td> </tr> <tr> <td>Мощность ламп</td> <td>-</td> </tr> <tr> <td>Выключатель в комплекте</td> <td>без выключателя</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, d245, Выс.-170, E14 Ring</td> </tr> <tr> <td>Лампы в комплекте</td> <td>нет</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";379;303;360;9%;0;45;;0000-00-00;;Абажуры;;;;;;;;;;;;;;17;;25;;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
Eglo_49414;"Внутреннее освещение/Абажуры";"Eglo 49414 Vintage";"<table class=""ui compact table segment""> <tr><th>Свойство</th> <th>Значение</th> </tr> <tr><td>Артикул</td> <td>49414</td></tr> <tr> <td>Серия</td> <td>VINTAGE</td> </tr> <tr> <td>Стиль</td> <td>Винтаж</td> </tr> <tr> <td>Цвет арматуры</td> <td>черный</td> </tr> <tr> <td>Высота</td> <td>120</td> </tr> <tr> <td>Длина</td> <td>155</td> </tr> <tr> <td>Ширина</td> <td>155</td> </tr> <tr> <td>Описание товара</td> <td>Абажур VINTAGE, 155x155, Выс.-120, E14 Ring</td> </tr> <tr> <td>Бренд</td> <td>Eglo</td> </tr> <tr> <td>Страна</td> <td>Австрия</td> </tr> </table>";279;223;265;;0;0;;0000-00-00;;Абажуры;;;;;;;;;;;;;;12;16;;16;;;;;;;;;Vintage;;Ткань;;"1-2 дня";"Eglo (Австрия)"
