articul;category_path;name;txt;price;price_min;price_max;discount_formula;hide;recom;flag;to_xml;installation;gift_articul;gift_end_date;admin;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Alfa_10040;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10040 Ewa jasna";"<p>Диаметр: 180 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";592;474;563;1%ipN;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;18;;;;1;;;IP20;;"Ewa jasna";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_10250;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10250 Bambus";"<p>Диаметр: 180 mm<br /> Высота: 220 mm<br /> 1 x E14 max 40W</p>";698;558;698;4ip;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;22;;;18;;;;1;;;IP20;;Bambus;;;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10330;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10330 Ewa venge";"<p>Диаметр: 180 mm<br /> Высота: 240 mm<br /> 1 x E14 max 40W</p>";624;499;624;27ip;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;24;;;18;;;;1;;;IP20;;"Ewa venge";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_10440;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10440 Lord";"<p>Диаметр: 300 mm<br /> Высота: 240 mm<br /> 1 x E27 max 60W</p>";740;592;740;3%;0;0;0;1;0;;00.00.0000;;"Классические;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;24;;;30;;;;1;;;IP20;;Lord;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10650;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10650 Witra";"<p>Диаметр: 180 mm<br /> Высота: 220 mm<br /> 1 x E14 max 40W</p>";613;491;583;4%N;0;0;0;1;45;Nowodvorski_6895;20.11.2001;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;22;;;18;;;;1;;;IP20;;Witra;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10660;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10660 Eco venge";"<p>Диаметр: 200 mm<br /> Высота: 200 mm<br /> 1 x E27 max 60W</p>";645;516;613;;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;20;;;20;;;;1;;;IP20;;"Eco venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_1071;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 1071 Eco";"<p>Диаметр: 200 mm<br /> Высота: 200 mm<br /> 1 x E27 max 60W</p>";645;516;613;8%;0;0;0;1;45;;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;20;;;20;;;;1;;;IP20;;Eco;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_10750;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10750 Braga";"<p>Диаметр: 270 mm<br /> Высота: 300 mm<br /> 1 x E14 max 40W</p>";529;423;529;20%N;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;30;;;27;;;;1;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10770;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10770 Praga antic";"<p>Диаметр: 270 mm<br /> Высота: 220 mm<br /> 1 x E27 max 60W</p>";613;491;613;6%ipN;0;0;0;1;45;;00.00.0000;;"Классические;Настенные светильники;Недорогие";"Бра и подсветки";;;;;;;;;;;;;;22;;;27;;;;1;;;IP20;;"Praga antic";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_10900;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Alfa 10900 Prestige";"<p>Диаметр: 300 mm<br /> Высота: 240 mm<br /> 1 x E27 max 60W</p>";740;592;703;;0;0;0;1;45;Nowodvorski_6895;00.00.0000;;"Классические;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;24;;;30;;;;1;;;IP20;;Prestige;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
