id;articul;category_path;name;txt;price;price_min;price_max;discount_formula;hide;recom;flag;to_xml;installation;gift_articul;gift_end_date;admin;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
7;Alfa_10045;"Внутреннее освещение/Люстры";"Alfa 10045 Ewa jasna";"<p>Диаметр: 290 mm<br /> Высота: 260 mm<br /> 4 x E14 max 40W</p>";1524;1219;1447;;0;0;0;0;45;;00.00.0000;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;26;29;;29;;;;4;;;IP20;;"Ewa jasna";;Ткань;;"4-6 недели";"Alfa (Польша)"
28;Alfa_103;"Внутреннее освещение/Люстры";"Alfa 103 Babunia";"<p>Диаметр: 460 mm<br /> Высота: 940 mm<br /> 2 x E14 max 40W</p>";2730;2184;2730;;0;0;0;0;45;;00.00.0000;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;94;;46;46;;;;2;;;IP20;;Babunia;;Стекло;;"4-6 недели";"Alfa (Польша)"
34;Alfa_10335;"Внутреннее освещение/Люстры";"Alfa 10335 Ewa venge";"<p>Диаметр: 290 mm<br /> Высота: 260 mm<br /> 4 x E14 max 40W</p>";1598;1278;1598;;0;0;0;0;0;;00.00.0000;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;26;29;;29;;;;4;;;IP20;;"Ewa venge";;Ткань;;"4-6 недели";"Alfa (Польша)"
35;Alfa_10336;"Внутреннее освещение/Люстры";"Alfa 10336 Ewa venge";"<p><br /> </p>";1682;1346;1682;;0;0;0;0;0;Nowodvorski_6895;31.12.2016;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;26;;;74;;;;4;;;IP20;;"Ewa venge";;Ткань;Дерево;"4-6 недели";"Alfa (Польша)"
44;Alfa_10443;"Внутреннее освещение/Люстры";"Alfa 10443 Lord";"<p>Диаметр: 640 mm<br /> Высота: 530 mm<br /> 3 x E27 max 60W</p>";1693;1354;1693;;0;0;0;0;0;;00.00.0000;;Классические;Люстры;;;;;;;;;;;;;;53;;64;64;;;;3;;;IP20;;Lord;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
45;Alfa_10445;"Внутреннее освещение/Люстры";"Alfa 10445 Lord";"<p>Диаметр: 640 mm<br /> Высота: 530 mm<br /> 5 x E27 max 60W</p>";2190;1752;2190;88ip;0;0;0;0;0;Nowodvorski_6895;31.12.2016;;Классические;Люстры;;;;;;;;;;;;;;53;;64;64;;;;5;;;IP20;;Lord;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
67;Alfa_10753;"Внутреннее освещение/Люстры";"Alfa 10753 Braga";"<p>Диаметр: 560 mm<br /> Высота: 600 mm<br /> 3 x E14 max 40W</p>";1238;990;1176;;0;0;0;0;0;Nowodvorski_6895;31.12.2016;;Современные;Люстры;;;;;;;;;;;;;;60;;56;56;;;;3;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
68;Alfa_10754;"Внутреннее освещение/Люстры";"Alfa 10754 Braga";"<p>Диаметр: 760 mm<br /> Высота: 340 mm<br /> 3 x E14 max 40W</p>";1153;922;1095;9%ipN;0;0;0;0;0;Nowodvorski_6895;31.12.2016;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;34;;76;76;;;;3;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
69;Alfa_10755;"Внутреннее освещение/Люстры";"Alfa 10755 Braga";"<p>Диаметр: 560 mm<br /> Высота: 600 mm<br /> 5 x E14 max 40W</p>";1566;1253;1488;76;0;0;0;0;0;;00.00.0000;;Современные;Люстры;;;;;;;;;;;;;;60;;56;56;;;;5;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
70;Alfa_10756;"Внутреннее освещение/Люстры";"Alfa 10756 Braga";"<p>Диаметр: 760 mm<br /> Высота: 340 mm<br /> 5 x E14 max 40W</p>";1365;1092;1365;2%N;0;0;0;0;0;;00.00.0000;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;34;;76;76;;;;5;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
73;Alfa_10773;"Внутреннее освещение/Люстры";"Alfa 10773 Praga antic";"<p>Диаметр: 600 mm<br /> Высота: 610 mm<br /> 3 x E27 max 60W</p>";1439;1151;1439;10ip;0;0;0;0;0;;00.00.0000;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;61;;60;60;;;;3;;;IP20;;"Praga antic";;Стекло;;"4-6 недели";"Alfa (Польша)"
74;Alfa_10775;"Внутреннее освещение/Люстры";"Alfa 10775 Praga antic";"<p>Диаметр: 600 mm<br /> Высота: 610 mm<br /> 5 x E27 max 60W</p>";1809;1447;1719;61N;0;0;0;0;0;Nowodvorski_6895;31.12.2016;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;61;;60;60;;;;5;;;IP20;;"Praga antic";;Стекло;;"4-6 недели";"Alfa (Польша)"
81;Alfa_10903;"Внутреннее освещение/Люстры";"Alfa 10903 Prestige";"<p>Диаметр: 640 mm<br /> Высота: 530 mm<br /> 3 x E27 max 60W</p>";1989;1591;1989;4%;0;0;0;0;45;Nowodvorski_6895;31.12.2016;;Классические;Люстры;;;;;;;;;;;;;;53;;64;64;;;;3;;;IP20;;Prestige;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
82;Alfa_10905;"Внутреннее освещение/Люстры";"Alfa 10905 Prestige";"<p>Диаметр: 640 mm<br /> Высота: 530 mm<br /> 5 x E27 max 60W</p>";2487;1989;2487;94N;0;0;0;0;45;;00.00.0000;;Классические;Люстры;;;;;;;;;;;;;;53;;64;64;;;;5;;;IP20;;Prestige;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
119;Alfa_11513;"Внутреннее освещение/Люстры";"Alfa 11513 o venge";"<p>Диаметр: 450 mm<br /> Высота: 410 mm<br /> 3 x E27 max 60W</p>";1195;956;1136;5%ipN;0;0;0;0;0;;00.00.0000;;Современные;Люстры;;;;;;;;;;;;;;41;;45;45;;;;3;;;IP20;;"o venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
120;Alfa_11515;"Внутреннее освещение/Люстры";"Alfa 11515 o venge";"<p>Диаметр: 450 mm<br /> Высота: 410 mm<br /> 5 x E27 max 60W</p>";1566;1253;1566;10%;0;0;0;0;45;;00.00.0000;;Классические;Люстры;;;;;;;;;;;;;;41;;45;45;;;;5;;;IP20;;"o venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
122;Alfa_11523;"Внутреннее освещение/Люстры";"Alfa 11523 Kozioek venge";"<p>Диаметр: 370 mm<br /> Высота: 430 mm<br /> 3 x E27 max 60W</p>";1195;956;1136;20%N;0;0;0;0;0;Nowodvorski_6895;31.12.2016;;Хрустальные;Люстры;;;;;;;;;;;;;;43;;37;37;;;;3;;;IP20;;"Kozioek venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
123;Alfa_11525;"Внутреннее освещение/Люстры";"Alfa 11525 Kozioek venge";"<p>Диаметр: 370 mm<br /> Высота: 430 mm<br /> 5 x E27 max 60W</p>";1566;1253;1488;10%ipN;0;0;0;0;0;Nowodvorski_6895;31.12.2016;;Современные;Люстры;;;;;;;;;;;;;;43;;37;37;;;;5;;;IP20;;"Kozioek venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
129;Alfa_11633;"Внутреннее освещение/Люстры";"Alfa 11633 Bali premium";"<p>Диаметр: 500 mm<br /> Высота: 700 mm<br /> 3 x E14 max 40W</p>";1365;1092;1365;;0;0;0;0;45;;00.00.0000;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;70;;50;50;;;;3;;;IP20;;"Bali premium";;Ткань;;"4-6 недели";"Alfa (Польша)"
130;Alfa_11635;"Внутреннее освещение/Люстры";"Alfa 11635 Bali premium";"<p>Диаметр: 500 mm<br /> Высота: 700 mm<br /> 5 x E14 max 40W</p>";1704;1363;1618;7N;0;0;0;0;0;;00.00.0000;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;70;;50;50;;;;5;;;IP20;;"Bali premium";;Ткань;;"4-6 недели";"Alfa (Польша)"
134;Alfa_11953;"Внутреннее освещение/Люстры";"Alfa 11953 Archimedes venge";"<p>Диаметр: 770 mm<br /> Высота: 200 mm<br /> 3 x E27 max 60W</p>";1312;1049;1312;;0;0;0;0;0;Nowodvorski_6895;31.12.2016;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;20;;;77;;;;3;;;IP20;;"Archimedes venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
135;Alfa_11954;"Внутреннее освещение/Люстры";"Alfa 11954 Archimedes venge";"<p>Диаметр: 600 mm<br /> Высота: 370 mm<br /> 3 x E27 max 60W</p>";1333;1066;1266;;0;0;0;0;45;;00.00.0000;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;37;;60;60;;;;3;;;IP20;;"Archimedes venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
