id;discount_formula;discount_end_date
2097;;
2098;10;
2099;1;
2100;7%;
2101;5;
2102;5ip;
2103;13%N;
2104;9%;
2105;;
2106;7%;
2107;;
2108;;
2109;0%ipN;
2110;19%N;
2111;;
2112;1ip;
2113;;
2114;11ip;
2115;2%;
2116;;
2117;;
2118;3%;
2119;7%ipN;
2120;;
2121;3%;
2122;11ip;
2123;4%ipN;
2124;9;
2125;2ip;
2126;9%;
2127;;
2128;;
2163;;
2185;21;
2193;;
2194;8N;
2195;13N;
2196;18%N;
2197;;
2198;16;
2199;11N;
2200;11%N;
2201;3%ipN;
2202;15%ipN;
2203;;
2204;3N;
2205;1;
2206;4%;
2207;9N;
2208;1ip;
2209;5N;
2210;3%N;
2211;0N;
2998;2ip;
2999;;
3000;3%ipN;
3001;;
3002;3;
3003;4%;
3004;2%;
3005;8%;
3195;1%;
3475;4%;
3476;1%;
3477;13%N;
3478;12%N;
3479;5;
3480;5;
3481;4%;
3482;4%ipN;
3483;18%N;
3484;12%ipN;
3485;1;
3486;;
3487;1%;
3488;8;
3836;6ip;
4269;8N;
4270;23N;
4271;;
4272;17%N;
4273;0%;
4274;;
4275;;
4276;1N;
4277;1%ipN;
4278;10ip;
4279;14;
4280;12%N;
4281;7N;
4282;5%;
4283;9%;
4284;10%;
4285;1%;
4286;;
4287;;
4288;;
4289;17ip;
4290;;
4291;4%ipN;
4292;;
4293;10%;
4294;14ip;
4295;;
4296;12%ipN;
4297;3%ipN;
4298;;
4299;19ip;
4300;11ip;
4301;3ip;
4302;18%N;
4303;12ip;
4304;14%N;
4305;3%N;
4306;5;
4500;23;
4501;;
4502;;
4503;16%ipN;
7002;13%N;
2096;6%;
