id;articul;name_alt;price;price_max;available
2097;Eglo_49403_111;"Eglo 49403 Vintage";243;230;0
2098;Eglo_49404_222;"Eglo 49404 Vintage";242;230;0
2099;Eglo_49406;"Eglo 49406 Vintage";220;220;5
2100;Eglo_49407;"Eglo 49407 Vintage";220;220;5
2101;Eglo_49408;"Eglo 49408 Vintage";220;220;2
2102;Eglo_49409;"Eglo 49409 Vintage";277;263;8
2103;Eglo_49412;"Eglo 49412 Vintage";379;379;5
2104;Eglo_49413;"Eglo 49413 Vintage";379;360;50
2105;Eglo_49414;"Eglo 49414 Vintage";279;265;0
2106;Eglo_49416;"Eglo 49416 Vintage";279;265;5
2107;Eglo_49417;"Eglo 49417 Vintage";231;219;5
2108;Eglo_49418;"Eglo 49418 Vintage";231;219;0
2109;Eglo_49419;"Eglo 49419 Vintage";231;231;5
2110;Eglo_49421;"Eglo 49421 Vintage";322;306;5
2111;Eglo_49422;"Eglo 49422 Vintage";322;306;2
2112;Eglo_49423;"Eglo 49423 Vintage";279;265;0
2113;Eglo_49424;"Eglo 49424 Vintage";279;279;3
2114;Eglo_49425;"Eglo 49425 Vintage";231;231;5
2115;Eglo_49426;"Eglo 49426 Vintage";231;219;56
2116;Eglo_49427;"Eglo 49427 Vintage";231;219;5
2117;Eglo_49428;"Eglo 49428 Vintage";231;219;5
2118;Eglo_49429;"Eglo 49429 Vintage";231;231;5
2119;Eglo_49431;"Eglo 49431 Vintage";235;235;5
2120;Eglo_49432;"Eglo 49432 Vintage";236;225;5
2121;Eglo_49433;"Eglo 49433 Vintage";232;220;5
2122;Eglo_49434;"Eglo 49434 Vintage";232;232;0
2123;Eglo_49435;"Eglo 49435 Vintage";322;306;5
2124;Eglo_49436;"Eglo 49436 Vintage";232;220;5
2125;Eglo_49437;"Eglo 49437 Vintage";243;243;5
2126;Eglo_49438;"Eglo 49438 Vintage";243;231;5
2127;Eglo_49441;"Eglo 49441 Vintage";278;264;4
2128;Eglo_49442;"Eglo 49442 Vintage";423;423;4
2163;Eglo_49498;"Eglo 49498 Vintage";328;328;788
2185;Eglo_49848;"Eglo 49848 Gillingham";777;738;0
2193;Eglo_49956;"Eglo 49956 Vintage";379;379;9
2194;Eglo_49958;"Eglo 49958 Vintage";379;379;7
2195;Eglo_49959;"Eglo 49959 Vintage";294;279;0
2196;Eglo_49961;"Eglo 49961 Vintage";379;379;4
2197;Eglo_49963;"Eglo 49963 Vintage";202;192;4
2198;Eglo_49964;"Eglo 49964 Vintage";330;314;0
2199;Eglo_49965;"Eglo 49965 Vintage";330;314;494
2200;Eglo_49966;"Eglo 49966 Vintage";366;366;984
2201;Eglo_49968;"Eglo 49968 Vintage";366;348;4
2202;Eglo_49971;"Eglo 49971 Vintage";330;314;33
2203;Eglo_49973;"Eglo 49973 Vintage";330;330;1
2204;Eglo_49974;"Eglo 49974 Vintage";330;330;3
2205;Eglo_49976;"Eglo 49976 Vintage";330;330;131
2206;Eglo_49977;"Eglo 49977 Vintage";330;314;32
2207;Eglo_49978;"Eglo 49978 Vintage";202;192;31
2208;Eglo_49979;"Eglo 49979 Vintage";275;275;21
2209;Eglo_49982;"Eglo 49982 Vintage";296;296;12
2210;Eglo_49984;"Eglo 49984 Vintage";440;440;0
2211;Eglo_49986;"Eglo 49986 Vintage";330;314;0
2998;Eglo_88745;"Eglo 88745 Cuba";243;231;0
2999;Eglo_88746;"Eglo 88746 Cuba";366;366;0
3000;Eglo_88747;"Eglo 88747 Cuba";284;284;0
3001;Eglo_88748;"Eglo 88748 Cuba";322;322;0
3002;Eglo_88749;"Eglo 88749 Cuba";285;270;0
3003;Eglo_88751;"Eglo 88751 Cuba";366;348;0
