articul;category_path;name;txt;price;price_min;price_max;discount_formula;installation;gift_articul;gift_end_date;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Alfa_10045;"Внутреннее освещение/Люстры";"Alfa 10045 Ewa jasna";"<p>Диаметр: 290 mm<br /> Высота: 260 mm<br /> 4 x E14 max 40W</p>";1524,1;1219,28;1447,89;;45;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;26;29;;29;;;;4;;;IP20;;"Ewa jasna";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_103;"Внутреннее освещение/Люстры";"Alfa 103 Babunia";"<p>Диаметр: 460 mm<br /> Высота: 940 mm<br /> 2 x E14 max 40W</p>";2730,67;2184,54;2730,67;;45;;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;94;;46;46;;;;2;;;IP20;;Babunia;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_10335;"Внутреннее освещение/Люстры";"Alfa 10335 Ewa venge";"<p>Диаметр: 290 mm<br /> Высота: 260 mm<br /> 4 x E14 max 40W</p>";1598,18;1278,54;1598,18;;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;26;29;;29;;;;4;;;IP20;;"Ewa venge";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_10336;"Внутреннее освещение/Люстры";"Alfa 10336 Ewa venge";"<p><br /> </p>";1682,86;1346,29;1682,86;;;Nowodvorski_6895;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;26;;;74;;;;4;;;IP20;;"Ewa venge";;Ткань;Дерево;"4-6 недели";"Alfa (Польша)"
Alfa_10443;"Внутреннее освещение/Люстры";"Alfa 10443 Lord";"<p>Диаметр: 640 mm<br /> Высота: 530 mm<br /> 3 x E27 max 60W</p>";1693,44;1354,75;1693,44;;;;;Классические;Люстры;;;;;;;;;;;;;;53;;64;64;;;;3;;;IP20;;Lord;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10445;"Внутреннее освещение/Люстры";"Alfa 10445 Lord";"<p>Диаметр: 640 mm<br /> Высота: 530 mm<br /> 5 x E27 max 60W</p>";2190,89;1752,71;2190,89;88ip;;Nowodvorski_6895;2016-11-01;Классические;Люстры;;;;;;;;;;;;;;53;;64;64;;;;5;;;IP20;;Lord;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10753;"Внутреннее освещение/Люстры";"Alfa 10753 Braga";"<p>Диаметр: 560 mm<br /> Высота: 600 mm<br /> 3 x E14 max 40W</p>";1238,33;990,664;1176,41;;;Nowodvorski_6895;;Современные;Люстры;;;;;;;;;;;;;;60;;56;56;;;;3;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10754;"Внутреннее освещение/Люстры";"Alfa 10754 Braga";"<p>Диаметр: 760 mm<br /> Высота: 340 mm<br /> 3 x E14 max 40W</p>";1153,66;922,928;1095,98;9%ipN;;Nowodvorski_6895;2016-11-01;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;34;;76;76;;;;3;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10755;"Внутреннее освещение/Люстры";"Alfa 10755 Braga";"<p>Диаметр: 560 mm<br /> Высота: 600 mm<br /> 5 x E14 max 40W</p>";1566,43;1253,14;1488,11;76;;;;Современные;Люстры;;;;;;;;;;;;;;60;;56;56;;;;5;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10756;"Внутреннее освещение/Люстры";"Alfa 10756 Braga";"<p>Диаметр: 760 mm<br /> Высота: 340 mm<br /> 5 x E14 max 40W</p>";1365,34;1092,27;1365,34;2%N;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;34;;76;76;;;;5;;;IP20;;Braga;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10773;"Внутреннее освещение/Люстры";"Alfa 10773 Praga antic";"<p>Диаметр: 600 mm<br /> Высота: 610 mm<br /> 3 x E27 max 60W</p>";1439,42;1151,54;1439,42;10ip;;;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;61;;60;60;;;;3;;;IP20;;"Praga antic";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_10775;"Внутреннее освещение/Люстры";"Alfa 10775 Praga antic";"<p>Диаметр: 600 mm<br /> Высота: 610 mm<br /> 5 x E27 max 60W</p>";1809,86;1447,89;1719,37;61N;;Nowodvorski_6895;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;61;;60;60;;;;5;;;IP20;;"Praga antic";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_10903;"Внутреннее освещение/Люстры";"Alfa 10903 Prestige";"<p>Диаметр: 640 mm<br /> Высота: 530 mm<br /> 3 x E27 max 60W</p>";1989,79;1591,83;1989,79;4%;45;Nowodvorski_6895;2016-11-01;Классические;Люстры;;;;;;;;;;;;;;53;;64;64;;;;3;;;IP20;;Prestige;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_10905;"Внутреннее освещение/Люстры";"Alfa 10905 Prestige";"<p>Диаметр: 640 mm<br /> Высота: 530 mm<br /> 5 x E27 max 60W</p>";2487,24;1989,79;2487,24;94N;45;;;Классические;Люстры;;;;;;;;;;;;;;53;;64;64;;;;5;;;IP20;;Prestige;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_11513;"Внутреннее освещение/Люстры";"Alfa 11513 o venge";"<p>Диаметр: 450 mm<br /> Высота: 410 mm<br /> 3 x E27 max 60W</p>";1195,99;956,792;1136,19;5%ipN;;;;Современные;Люстры;;;;;;;;;;;;;;41;;45;45;;;;3;;;IP20;;"o venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_11515;"Внутреннее освещение/Люстры";"Alfa 11515 o venge";"<p>Диаметр: 450 mm<br /> Высота: 410 mm<br /> 5 x E27 max 60W</p>";1566,43;1253,14;1566,43;10%;45;;;Классические;Люстры;;;;;;;;;;;;;;41;;45;45;;;;5;;;IP20;;"o venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_11523;"Внутреннее освещение/Люстры";"Alfa 11523 Kozioek venge";"<p>Диаметр: 370 mm<br /> Высота: 430 mm<br /> 3 x E27 max 60W</p>";1195,99;956,792;1136,19;20%N;;Nowodvorski_6895;;Хрустальные;Люстры;;;;;;;;;;;;;;43;;37;37;;;;3;;;IP20;;"Kozioek venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_11525;"Внутреннее освещение/Люстры";"Alfa 11525 Kozioek venge";"<p>Диаметр: 370 mm<br /> Высота: 430 mm<br /> 5 x E27 max 60W</p>";1566,43;1253,14;1488,11;10%ipN;;Nowodvorski_6895;;Современные;Люстры;;;;;;;;;;;;;;43;;37;37;;;;5;;;IP20;;"Kozioek venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_11633;"Внутреннее освещение/Люстры";"Alfa 11633 Bali premium";"<p>Диаметр: 500 mm<br /> Высота: 700 mm<br /> 3 x E14 max 40W</p>";1365,34;1092,27;1365,34;;45;;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;70;;50;50;;;;3;;;IP20;;"Bali premium";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_11635;"Внутреннее освещение/Люстры";"Alfa 11635 Bali premium";"<p>Диаметр: 500 mm<br /> Высота: 700 mm<br /> 5 x E14 max 40W</p>";1704,02;1363,22;1618,82;7N;;;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;70;;50;50;;;;5;;;IP20;;"Bali premium";;Ткань;;"4-6 недели";"Alfa (Польша)"
Alfa_11953;"Внутреннее освещение/Люстры";"Alfa 11953 Archimedes venge";"<p>Диаметр: 770 mm<br /> Высота: 200 mm<br /> 3 x E27 max 60W</p>";1312,42;1049,94;1312,42;;;Nowodvorski_6895;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;20;;;77;;;;3;;;IP20;;"Archimedes venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_11954;"Внутреннее освещение/Люстры";"Alfa 11954 Archimedes venge";"<p>Диаметр: 600 mm<br /> Высота: 370 mm<br /> 3 x E27 max 60W</p>";1333,58;1066,86;1266,9;;45;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;37;;60;60;;;;3;;;IP20;;"Archimedes venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
