id;name;name_seo;supplier;available;avail_text;recom
2097;Eglo 49403 Vintage;Eglo 49403 Vintage;Supp 1;0;Нет в наличии;1
2098;Eglo 49404 Vintage;Eglo 49404 Vintage;Supp 1;0;Нет в наличии;1
2099;Eglo 49406 Vintage;Eglo 49406 Vintage;Supp 1;5;Есть в наличии;1
2100;Eglo 49407 Vintage;Eglo 49407 Vintage;Supp 1;5;Есть в наличии;1
2101;Eglo 49408 Vintage;Eglo 49408 Vintage;Supp 1;2;Есть в наличии;1
2102;Eglo 49409 Vintage;Eglo 49409 Vintage;Supp 1;8;Есть в наличии;1
2103;Eglo 49412 Vintage;Eglo 49412 Vintage;Supp 1;5;Есть в наличии;1
2104;Eglo 49413 Vintage;Eglo 49413 Vintage;Supp 1;50;Есть в наличии;1
2105;Eglo 49414 Vintage;Eglo 49414 Vintage;Supp 1;0;Нет в наличии;1
2106;Eglo 49416 Vintage;Eglo 49416 Vintage;Supp 1;5;Есть в наличии;1
2107;Eglo 49417 Vintage;Eglo 49417 Vintage;Supp 1;5;Есть в наличии;1
2108;Eglo 49418 Vintage;Eglo 49418 Vintage;Supp 1;0;Нет в наличии;1
2109;Eglo 49419 Vintage;Eglo 49419 Vintage;Supp 1;5;Есть в наличии;1
2110;Eglo 49421 Vintage;Eglo 49421 Vintage;Supp 1;5;Есть в наличии;1
2111;Eglo 49422 Vintage;Eglo 49422 Vintage;Supp 1;2;Есть в наличии;1
2112;Eglo 49423 Vintage;Eglo 49423 Vintage;Supp 1;0;Нет в наличии;1
2113;Eglo 49424 Vintage;Eglo 49424 Vintage;Поставщик;3;Есть в наличии;1
2114;Eglo 49425 Vintage;Eglo 49425 Vintage;Поставщик;5;Есть в наличии;1
2115;Eglo 49426 Vintage;Eglo 49426 Vintage;Поставщик;56;Есть в наличии;0
2116;Eglo 49427 Vintage;Eglo 49427 Vintage;Поставщик;5;Есть в наличии;0
2117;Eglo 49428 Vintage;Eglo 49428 Vintage;Поставщик;5;Есть в наличии;0
2118;Eglo 49429 Vintage;Eglo 49429 Vintage;Поставщик;5;Есть в наличии;0
2119;Eglo 49431 Vintage;Eglo 49431 Vintage;Поставщик;5;Есть в наличии;0
2120;Eglo 49432 Vintage;Eglo 49432 Vintage;Поставщик;5;Есть в наличии;0
2121;Eglo 49433 Vintage;Eglo 49433 Vintage;Поставщик;5;Есть в наличии;0
2122;Eglo 49434 Vintage;Eglo 49434 Vintage;Поставщик;0;Нет в наличии;0
2123;Eglo 49435 Vintage;Eglo 49435 Vintage;Поставщик;5;Есть в наличии;0
